// Output Data File:
//
// FILENAME 3BusTestCase.out
//
// CASE FILENAME :
3BusTestCase.dat

//  iNodeNumber	  iBranchNumber	     iGenNumber	     iLSENumber
              3	              3	              3	              2
//        RandomSeed	 iMaxDay	    dThresholdProbability	   dGenPriceCap	   dLSEPriceCap	 bMaximumDay	  bThreshold
           695672061	       2	                 0.999000	    1000.000000	       0.000000	           1	           1
//  bActionProb	      iStartDay	     iDayLength	    dActionProb	     bLearnProb	 iLearnStartDay	iLearnDayLength	     dLearnProb	    bNetEarning	    iNEStartDay	   iNEDayLength	   dNEThreshold
              0	              1	              5	       0.001000	              0	              1	              5	       0.001000	              0	              1	              5	      10.000000
#LMPWithTrueCostDataStart
// Hour	          Bus 1	          Bus 2	          Bus 3
#LMPWithTrueCostDataEnd

#GeneratorCommitmentWithTrueCostDataStart
// Hour	         GenCo1	         GenCo2	         GenCo3
#GeneratorCommitmentWithTrueCostDataEnd

#GeneratorProfitWithTrueCostDataStart
// Hour	   GenID	         Profit	   Net Earnings	        Revenue
NONE
#GeneratorProfitWithTrueCostDataEnd

#GeneratorSupplyOfferDataStart
//  Day	GenCo Name	     aR ($/MWh)	    bR ($/MW2h)	     CapRL (MW)	     CapRU (MW)
   16	    4	     200.000000	       0.000000	       0.000000
   16	    5	     200.000000	       0.000000	       0.000000
   16	    6	     200.000000	       0.000000	       0.000000
   16	    7	     200.000000	       0.000000	       0.000000
   16	    8	     200.000000	       0.000000	       0.000000
   16	    9	     200.000000	       0.000000	       0.000000
   16	   10	     200.000000	       0.000000	       0.000000
   16	   11	     200.000000	       0.000000	       0.000000
   16	   12	     200.000000	       0.000000	       0.000000
   16	   13	     200.000000	       0.000000	       0.000000
   16	   14	     200.000000	       0.000000	       0.000000
   17	    0	     200.000000	       0.000000	       0.000000
   17	    1	     200.000000	       0.000000	       0.000000
   17	    2	     200.000000	       0.000000	       0.000000
   17	    3	     200.000000	       0.000000	       0.000000
   17	    4	     200.000000	       0.000000	       0.000000
   17	    5	     200.000000	       0.000000	       0.000000
   17	    6	     200.000000	       0.000000	       0.000000
   17	    7	     200.000000	       0.000000	       0.000000
   17	    8	     200.000000	       0.000000	       0.000000
   17	    9	     200.000000	       0.000000	       0.000000
   17	   10	     200.000000	       0.000000	       0.000000
   17	   11	     200.000000	       0.000000	       0.000000
   17	   12	     200.000000	       0.000000	       0.000000
   17	   13	     200.000000	       0.000000	       0.000000
   17	   14	     200.000000	       0.000000	       0.000000
   18	    0	    1000.000000	       0.000000	       0.000000
   18	    1	    1000.000000	       0.000000	       0.000000
   18	    2	    1000.000000	       0.000000	       0.000000
   18	    3	    1000.000000	       0.000000	       0.000000
   18	    4	    1000.000000	       0.000000	       0.000000
   18	    5	    1000.000000	       0.000000	       0.000000
   18	    6	    1000.000000	       0.000000	       0.000000
   18	    7	    1000.000000	       0.000000	       0.000000
   18	    8	    1000.000000	       0.000000	       0.000000
   18	    9	    1000.000000	       0.000000	       0.000000
   18	   10	    1000.000000	       0.000000	       0.000000
   18	   11	    1000.000000	       0.000000	       0.000000
   18	   12	    1000.000000	       0.000000	       0.000000
   18	   13	    1000.000000	       0.000000	       0.000000
   18	   14	    1000.000000	       0.000000	       0.000000
   19	    0	    1000.000000	       0.000000	       0.000000
   19	    1	    1000.000000	       0.000000	       0.000000
   19	    2	    1000.000000	       0.000000	       0.000000
   19	    3	    1000.000000	       0.000000	       0.000000
   19	    4	    1000.000000	       0.000000	       0.000000
   19	    5	    1000.000000	       0.000000	       0.000000
   19	    6	    1000.000000	       0.000000	       0.000000
   19	    7	    1000.000000	       0.000000	       0.000000
   19	    8	    1000.000000	       0.000000	       0.000000
   19	    9	    1000.000000	       0.000000	       0.000000
   19	   10	    1000.000000	       0.000000	       0.000000
   19	   11	    1000.000000	       0.000000	       0.000000
   19	   12	    1000.000000	       0.000000	       0.000000
   19	   13	    1000.000000	       0.000000	       0.000000
   19	   14	    1000.000000	       0.000000	       0.000000
   20	    0	    1000.000000	       0.000000	       0.000000
   20	    1	    1000.000000	       0.000000	       0.000000
   20	    2	    1000.000000	       0.000000	       0.000000
   20	    3	    1000.000000	       0.000000	       0.000000
   20	    4	    1000.000000	       0.000000	       0.000000
   20	    5	    1000.000000	       0.000000	       0.000000
