USPS	GEOID	ANSICODE	NAME	FUNCSTAT10	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                         
TX	4811592110	01938903	Lamesa Northeast CCD	S	384	177	630498583	1680557	     243.437	       0.649	 32.859915	-101.836013                                                                                
TX	4811592115	01938904	Lamesa Northwest CCD	S	422	189	540126342	761288	     208.544	       0.294	 32.833942	-102.103568                                                                                 
TX	4811592120	01938905	Lamesa Southeast CCD	S	624	282	505317764	928397	     195.104	       0.358	 32.633064	-101.792189                                                                                 
TX	4811592125	01938906	Lamesa Southwest CCD	S	405	170	526295629	1088726	     203.204	       0.420	 32.616942	-102.072209                                                                                
TX	4811791785	01938838	Hereford East CCD	S	18550	6680	1110816543	1058251	     428.889	       0.409	 34.955150	-102.292785                                                                               
TX	4811791790	01938839	Hereford West CCD	S	822	397	2766052881	2868578	    1067.979	       1.108	 34.958977	-102.725535                                                                                  
TX	4811990840	01938646	Cooper CCD	S	3699	1715	410135634	36823652	     158.354	      14.218	 33.412327	 -95.597576                                                                                       
TX	4811992985	01939078	Pecan Gap CCD	S	1532	743	255038278	17842741	      98.471	       6.889	 33.363249	 -95.802526                                                                                     
TX	4812190637	01938832	Carrollton CCD	S	112937	49483	88158294	1183271	      34.038	       0.457	 33.029110	 -96.895852                                                                                  
TX	4812191010	01938680	Denton CCD	S	96510	39956	210530858	3581738	      81.286	       1.383	 33.243602	 -97.151438                                                                                      
TX	4812191970	01938875	Justin-Roanoke CCD	S	51911	19883	574519132	15863652	     221.823	       6.125	 33.094356	 -97.261525                                                                             
